   Radius        Density      Pressure     
4.420000e+05  2.378076e+15  1.823298e+36
4.430000e+05  2.375005e+15  1.816242e+36
4.440000e+05  2.371929e+15  1.809196e+36
4.450000e+05  2.368850e+15  1.802159e+36
4.460000e+05  2.365767e+15  1.795131e+36
4.470000e+05  2.362680e+15  1.788113e+36
4.480000e+05  2.359589e+15  1.781105e+36
4.490000e+05  2.356495e+15  1.774107e+36
4.500000e+05  2.353396e+15  1.767118e+36
4.510000e+05  2.350294e+15  1.760139e+36
4.520000e+05  2.347188e+15  1.753170e+36
4.530000e+05  2.344078e+15  1.746210e+36
4.540000e+05  2.340964e+15  1.739261e+36
4.550000e+05  2.337847e+15  1.732322e+36
4.560000e+05  2.334726e+15  1.725392e+36
4.570000e+05  2.331601e+15  1.718473e+36
4.580000e+05  2.328472e+15  1.711564e+36
4.590000e+05  2.325339e+15  1.704666e+36
4.600000e+05  2.322203e+15  1.697777e+36
4.610000e+05  2.319063e+15  1.690899e+36
4.620000e+05  2.315919e+15  1.684032e+36
4.630000e+05  2.312771e+15  1.677175e+36
4.640000e+05  2.309620e+15  1.670328e+36
4.650000e+05  2.306465e+15  1.663492e+36
4.660000e+05  2.303306e+15  1.656667e+36
4.670000e+05  2.300143e+15  1.649852e+36
4.680000e+05  2.296977e+15  1.643048e+36
4.690000e+05  2.293807e+15  1.636255e+36
4.700000e+05  2.290633e+15  1.629473e+36
4.710000e+05  2.287456e+15  1.622701e+36
4.720000e+05  2.284275e+15  1.615941e+36
4.730000e+05  2.281090e+15  1.609191e+36
4.740000e+05  2.277902e+15  1.602453e+36
4.750000e+05  2.274709e+15  1.595725e+36
4.760000e+05  2.271514e+15  1.589009e+36
4.770000e+05  2.268314e+15  1.582304e+36
4.780000e+05  2.265111e+15  1.575610e+36
4.790000e+05  2.261904e+15  1.568927e+36
4.800000e+05  2.258693e+15  1.562256e+36
4.810000e+05  2.255479e+15  1.555596e+36
4.820000e+05  2.252261e+15  1.548947e+36
4.830000e+05  2.249040e+15  1.542310e+36
4.840000e+05  2.245815e+15  1.535685e+36
4.850000e+05  2.242586e+15  1.529071e+36
4.860000e+05  2.239354e+15  1.522468e+36
4.870000e+05  2.236117e+15  1.515878e+36
4.880000e+05  2.232878e+15  1.509298e+36
4.890000e+05  2.229634e+15  1.502731e+36
4.900000e+05  2.226387e+15  1.496176e+36
4.910000e+05  2.223137e+15  1.489632e+36
4.920000e+05  2.219883e+15  1.483100e+36
4.930000e+05  2.216625e+15  1.476580e+36
4.940000e+05  2.213363e+15  1.470072e+36
4.950000e+05  2.210098e+15  1.463575e+36
4.960000e+05  2.206830e+15  1.457091e+36
4.970000e+05  2.203558e+15  1.450619e+36
4.980000e+05  2.200282e+15  1.444159e+36
4.990000e+05  2.197002e+15  1.437712e+36
5.000000e+05  2.193719e+15  1.431276e+36
5.010000e+05  2.190432e+15  1.424852e+36
5.020000e+05  2.187142e+15  1.418441e+36
5.030000e+05  2.183848e+15  1.412042e+36
5.040000e+05  2.180551e+15  1.405656e+36
5.050000e+05  2.177250e+15  1.399282e+36
5.060000e+05  2.173945e+15  1.392920e+36
5.070000e+05  2.170637e+15  1.386571e+36
5.080000e+05  2.167325e+15  1.380234e+36
5.090000e+05  2.164010e+15  1.373909e+36
5.100000e+05  2.160691e+15  1.367598e+36
5.110000e+05  2.157369e+15  1.361298e+36
5.120000e+05  2.154042e+15  1.355012e+36
5.130000e+05  2.150713e+15  1.348738e+36
5.140000e+05  2.147380e+15  1.342477e+36
5.150000e+05  2.144043e+15  1.336228e+36
5.160000e+05  2.140702e+15  1.329992e+36
5.170000e+05  2.137358e+15  1.323769e+36
5.180000e+05  2.134011e+15  1.317559e+36
5.190000e+05  2.130660e+15  1.311362e+36
5.200000e+05  2.127305e+15  1.305177e+36
5.210000e+05  2.123947e+15  1.299006e+36
5.220000e+05  2.120585e+15  1.292847e+36
5.230000e+05  2.117219e+15  1.286702e+36
5.240000e+05  2.113850e+15  1.280569e+36
5.250000e+05  2.110478e+15  1.274450e+36
5.260000e+05  2.107102e+15  1.268343e+36
5.270000e+05  2.103722e+15  1.262250e+36
5.280000e+05  2.100339e+15  1.256170e+36
5.290000e+05  2.096952e+15  1.250103e+36
5.300000e+05  2.093561e+15  1.244049e+36
5.310000e+05  2.090167e+15  1.238008e+36
5.320000e+05  2.086770e+15  1.231981e+36
5.330000e+05  2.083369e+15  1.225967e+36
5.340000e+05  2.079964e+15  1.219966e+36
5.350000e+05  2.076556e+15  1.213978e+36
5.360000e+05  2.073144e+15  1.208004e+36
5.370000e+05  2.069728e+15  1.202044e+36
5.380000e+05  2.066309e+15  1.196096e+36
5.390000e+05  2.062886e+15  1.190162e+36
5.400000e+05  2.059460e+15  1.184242e+36
5.410000e+05  2.056030e+15  1.178335e+36
5.420000e+05  2.052597e+15  1.172442e+36
5.430000e+05  2.049160e+15  1.166562e+36
5.440000e+05  2.045719e+15  1.160696e+36
5.450000e+05  2.042275e+15  1.154843e+36
5.460000e+05  2.038827e+15  1.149004e+36
5.470000e+05  2.035376e+15  1.143178e+36
5.480000e+05  2.031921e+15  1.137367e+36
5.490000e+05  2.028462e+15  1.131569e+36
5.500000e+05  2.025000e+15  1.125784e+36
5.510000e+05  2.021534e+15  1.120013e+36
5.520000e+05  2.018064e+15  1.114257e+36
5.530000e+05  2.014591e+15  1.108514e+36
5.540000e+05  2.011114e+15  1.102784e+36
5.550000e+05  2.007634e+15  1.097069e+36
5.560000e+05  2.004150e+15  1.091367e+36
5.570000e+05  2.000662e+15  1.085679e+36
5.580000e+05  1.997171e+15  1.080005e+36
5.590000e+05  1.993676e+15  1.074345e+36
5.600000e+05  1.990177e+15  1.068699e+36
5.610000e+05  1.986675e+15  1.063067e+36
