              t                       Ixx                      Iyy                      Izz           
    3.369996154146359e+00     4.844473575213624e+44     4.844473685650109e+44     4.610271317366942e+44
    3.379997437458499e+00     4.834201145431060e+44     4.834201255567302e+44     4.603430230550850e+44
    3.389997078200646e+00     4.823965680244638e+44     4.823965789488831e+44     4.596655710360395e+44
    3.399998218813622e+00     4.813762841577636e+44     4.813762950594518e+44     4.589944680324223e+44
    3.409998244341947e+00     4.803594178081962e+44     4.803594286777203e+44     4.583297936665919e+44
    3.419998790289861e+00     4.793456958679116e+44     4.793457066407324e+44     4.576713498574836e+44
    3.429998002219930e+00     4.783351908770694e+44     4.783352016441356e+44     4.570191740796236e+44
    3.439996816672210e+00     4.773276807018236e+44     4.773276914427703e+44     4.563731301923223e+44
    3.449999105387529e+00     4.763226400938885e+44     4.763226508130259e+44     4.557328961392902e+44
    3.459997154587242e+00     4.753207518493142e+44     4.753207625080794e+44     4.550989082210152e+44
    3.469999987068054e+00     4.743211218720810e+44     4.743211324189530e+44     4.544705574634382e+44
    3.479998119461702e+00     4.733247134863416e+44     4.733247240364781e+44     4.538484089678099e+44
    3.489998939528617e+00     4.723307667909696e+44     4.723307772595848e+44     4.532319920398022e+44
    3.499999645641620e+00     4.713396134131619e+44     4.713396238709565e+44     4.526214711978105e+44
    3.509999956857320e+00     4.703513173532766e+44     4.703513277622869e+44     4.520167986936425e+44
    3.519999848588125e+00     4.693659166866751e+44     4.693659270188486e+44     4.514179915270421e+44
    3.529998463712881e+00     4.683835554020456e+44     4.683835656913324e+44     4.508251590504128e+44
    3.539998818134811e+00     4.674039494421289e+44     4.674039597210662e+44     4.502381329528104e+44
    3.549998391053077e+00     4.664270897871320e+44     4.664270999396843e+44     4.496570732989871e+44
    3.559999665811725e+00     4.654525017637295e+44     4.654525118203431e+44     4.490820570668941e+44
    3.569999799465216e+00     4.644805803039746e+44     4.644805902998751e+44     4.485138960325585e+44
    3.579998437987065e+00     4.635114282484272e+44     4.635114382031383e+44     4.479535146176054e+44
    3.589999210589537e+00     4.625437469099804e+44     4.625437567793171e+44     4.474014374329939e+44
    3.599998768383915e+00     4.615761038449598e+44     4.615761136122304e+44     4.468577586247712e+44
    3.609999692476058e+00     4.606055338362756e+44     4.606055435796955e+44     4.463204315285591e+44
    3.619998983644324e+00     4.596298036150780e+44     4.596298132654601e+44     4.457886893888482e+44
    3.629998446577075e+00     4.586475354777618e+44     4.586475450757672e+44     4.452631435901830e+44
    3.639998438138172e+00     4.576578817178001e+44     4.576578911900878e+44     4.447441802327519e+44
    3.649998710505931e+00     4.566609660926926e+44     4.566609755437237e+44     4.442319793627945e+44
    3.659998628677045e+00     4.556575654798102e+44     4.556575748318205e+44     4.437270034595550e+44
    3.669998354155659e+00     4.546484139060354e+44     4.546484232360089e+44     4.432300170155020e+44
    3.679998780787368e+00     4.536343494316635e+44     4.536343587496653e+44     4.427414074394175e+44
    3.689997778916304e+00     4.526165134036922e+44     4.526165226450700e+44     4.422616121413225e+44
    3.699998509039800e+00     4.515936336162472e+44     4.515936428203467e+44     4.417876224700265e+44
    3.709997353673748e+00     4.505660270489085e+44     4.505660361538434e+44     4.413185131358774e+44
    3.719998658787161e+00     4.495342357849234e+44     4.495342448588019e+44     4.408552164982097e+44
    3.729997225386721e+00     4.484990438532483e+44     4.484990528502658e+44     4.403980765185574e+44
    3.739999078192741e+00     4.474600359193864e+44     4.474600448620067e+44     4.399466611968582e+44
    3.749998689771975e+00     4.464183092509855e+44     4.464183181678784e+44     4.395015706949782e+44
    3.759997931141660e+00     4.453742322720871e+44     4.453742411049535e+44     4.390630432514207e+44
