t,BTotal_v_avg
11.500,     2.963088217347031e+17
11.550,     2.951068446680548e+17
11.600,     2.938913144379935e+17
11.650,     2.926997187214527e+17
11.700,     2.914906398142861e+17
11.750,     2.902135750421067e+17
11.800,     2.888679799878682e+17
11.850,     2.875183604853235e+17
11.900,     2.862441548566521e+17
11.950,     2.850925253759507e+17
12.000,     2.840604644445640e+17
12.050,     2.831205705421617e+17
12.100,     2.822548779390886e+17
12.150,     2.814751939897394e+17
12.200,     2.808104399405200e+17
12.250,     2.802985176328180e+17
12.300,     2.799554552585620e+17
12.350,     2.797663490300726e+17
12.400,     2.796984755548263e+17
12.450,     2.797215556594523e+17
12.500,     2.798093113943984e+17
12.500,     2.798093113943984e+17
12.550,     2.799465503511802e+17
12.600,     2.801385790600626e+17
12.650,     2.804254834189634e+17
12.700,     2.808731128762092e+17
12.750,     2.815400747734409e+17
12.800,     2.824082711496108e+17
12.850,     2.834358845068348e+17
12.900,     2.845751323034734e+17
12.950,     2.857704426286577e+17
13.000,     2.869575919173371e+17
13.050,     2.880833849778912e+17
13.100,     2.890835340510233e+17
13.150,     2.899708279332201e+17
13.250,     2.915403439016264e+17
13.300,     2.922427686629656e+17
13.350,     2.928857233883492e+17
13.400,     2.934997629098349e+17
13.450,     2.941296680638297e+17
13.500,     2.947977652715350e+17
13.550,     2.955145307807149e+17
13.600,     2.962865656263492e+17
13.650,     2.970623157307053e+17
13.700,     2.978329135333917e+17
13.750,     2.986132463266530e+17
13.800,     2.993919766030545e+17
13.850,     3.001519493961549e+17
13.900,     3.008865316507252e+17
13.950,     3.015658335424616e+17
14.000,     3.021398205799146e+17
14.050,     3.025800489416269e+17
14.100,     3.029053602352454e+17
14.150,     3.031084471267238e+17
14.200,     3.032073614391764e+17
14.250,     3.032065096165759e+17
14.300,     3.031165146572141e+17
14.350,     3.029370394761419e+17
14.400,     3.026843742449674e+17
14.450,     3.023731779925555e+17
14.500,     3.020082170932881e+17
14.550,     3.015911267008188e+17
14.600,     3.011185493970645e+17
14.650,     3.005845315226063e+17
14.700,     2.999896558524671e+17
14.750,     2.993472707505742e+17
14.800,     2.986764153048714e+17
14.850,     2.979896846808445e+17
14.900,     2.972893910975933e+17
14.950,     2.965690747667376e+17
15.000,     2.958211625492517e+17
15.050,     2.950479403817188e+17
15.100,     2.942586981109333e+17
15.150,     2.934704501767347e+17
15.200,     2.927055299371898e+17
15.250,     2.919888999492072e+17
15.300,     2.913452871817677e+17
15.350,     2.907948084060716e+17
15.400,     2.903500909204140e+17
15.450,     2.900187599888578e+17
15.500,     2.898051785984287e+17
15.550,     2.897144113075750e+17
15.600,     2.897606576784031e+17
15.650,     2.899575777785230e+17
15.700,     2.903218566005548e+17
15.750,     2.908657127274905e+17
15.800,     2.915862520007729e+17
15.850,     2.924711602260897e+17
15.900,     2.935042708653418e+17
15.950,     2.946660319298651e+17
16.000,     2.959227867523154e+17
16.050,     2.972484384823852e+17
16.100,     2.986162472354196e+17
16.150,     2.999926247371137e+17
16.200,     3.013441355561818e+17
16.250,     3.026437610276213e+17
16.300,     3.038784481171988e+17
16.350,     3.050341808071142e+17
16.400,     3.061087937246384e+17
16.450,     3.071098509475893e+17
16.500,     3.080302479724506e+17
16.550,     3.088647973983055e+17
16.600,     3.096143675505667e+17
16.650,     3.102811523381357e+17
16.700,     3.108675567881924e+17
