t,BToroidal_v_avg
3.900,     2.667191143332401e+17
3.910,     2.653127270225490e+17
3.920,     2.638991334165163e+17
3.930,     2.624781175330556e+17
3.940,     2.610499651454990e+17
3.950,     2.596150066048769e+17
3.960,     2.581727558421878e+17
3.970,     2.567245609499368e+17
3.980,     2.552693282739186e+17
3.990,     2.538084549742198e+17
4.000,     2.523413345627302e+17
4.010,     2.508688718871324e+17
4.020,     2.493906141398425e+17
4.030,     2.479077063651380e+17
4.040,     2.464191747724882e+17
4.050,     2.449260738178032e+17
4.060,     2.434282584821614e+17
4.070,     2.419264882054415e+17
4.080,     2.404200484242947e+17
4.090,     2.389095565056733e+17
4.100,     2.373954892889789e+17
4.110,     2.358776247195269e+17
4.120,     2.343561176504237e+17
4.130,     2.328310313918997e+17
4.140,     2.313024269105021e+17
4.150,     2.297710714957835e+17
4.160,     2.282363355128789e+17
4.170,     2.266981844833633e+17
4.180,     2.251578369590214e+17
4.190,     2.236137936788687e+17
4.200,     2.220674338594287e+17
4.210,     2.205179685724821e+17
4.220,     2.189658616597833e+17
4.230,     2.174110171647500e+17
4.240,     2.158530854623297e+17
4.250,     2.142926364903420e+17
4.260,     2.127296726372183e+17
4.270,     2.111640527741744e+17
4.280,     2.095956658131420e+17
4.290,     2.080246833035810e+17
4.300,     2.064511983206741e+17
4.310,     2.048751007105392e+17
4.320,     2.032962226841728e+17
4.330,     2.017138539499804e+17
4.340,     2.001275980993017e+17
4.350,     1.985388024783631e+17
4.360,     1.969470038535258e+17
4.370,     1.953513074203491e+17
4.380,     1.937528181630668e+17
4.390,     1.921506644971194e+17
4.400,     1.905450877792419e+17
4.410,     1.889360270738315e+17
4.420,     1.873236839551142e+17
4.430,     1.857082125347071e+17
4.440,     1.840896359256067e+17
4.450,     1.824679477596096e+17
4.460,     1.808428584177811e+17
4.470,     1.792149384578405e+17
4.480,     1.775836559348493e+17
4.490,     1.759491940810162e+17
4.500,     1.743112282109141e+17
4.510,     1.726693197287058e+17
4.520,     1.710248348352346e+17
4.530,     1.693768024763504e+17
4.540,     1.677258184456062e+17
4.550,     1.660710486723323e+17
4.560,     1.644141720372311e+17
4.570,     1.627542158436460e+17
4.580,     1.610912011039192e+17
4.590,     1.594259688504120e+17
4.600,     1.577589788615527e+17
4.610,     1.560902089465883e+17
4.620,     1.544205493076683e+17
4.630,     1.527491626980860e+17
4.640,     1.510778219817833e+17
4.650,     1.494072300976716e+17
4.660,     1.477365430964601e+17
4.670,     1.460666618106349e+17
4.680,     1.443983425541480e+17
4.690,     1.427314272584824e+17
4.700,     1.410671623263097e+17
4.710,     1.394042317763263e+17
4.720,     1.377448712287613e+17
4.730,     1.360874656220485e+17
4.740,     1.344336627779587e+17
4.750,     1.327831635198822e+17
4.760,     1.311370117039516e+17
4.770,     1.294950227519662e+17
4.780,     1.278576656823639e+17
4.790,     1.262259992642111e+17
4.800,     1.245990722135867e+17
4.810,     1.229784946716403e+17
4.820,     1.213638929307475e+17
4.830,     1.197561504842008e+17
4.840,     1.181543501554335e+17
4.850,     1.165601416063485e+17
4.860,     1.149732025953128e+17
4.870,     1.133950763622779e+17
4.880,     1.118247104669315e+17
4.890,     1.102636255643424e+17
4.900,     1.087117559813803e+17
4.910,     1.071702982721048e+17
4.920,     1.056391765497606e+17
4.930,     1.041202266403816e+17
4.940,     1.026128899094000e+17
4.950,     1.011179532991105e+17
4.960,     9.963746821735803e+16
4.970,     9.817105543105485e+16
4.980,     9.672016249872243e+16
4.990,     9.528503229767499e+16
5.000,     9.386716731787210e+16
5.010,     9.246765251139405e+16
