t,BPoloidal_v_avg
6.800,     2.145242975676364e+17
6.850,     2.150179363635958e+17
6.900,     2.154513949895313e+17
6.950,     2.158472761032509e+17
7.000,     2.161967097385080e+17
7.050,     2.164765951855779e+17
7.100,     2.166815033918183e+17
7.150,     2.168050210109362e+17
7.200,     2.168282068959055e+17
7.250,     2.167611792830877e+17
7.300,     2.166164850570292e+17
7.350,     2.164089019605658e+17
7.400,     2.161846729325834e+17
7.450,     2.159825974227881e+17
7.500,     2.158506308965636e+17
7.550,     2.157933411698703e+17
7.600,     2.158146950391555e+17
7.650,     2.159485179720774e+17
7.700,     2.162352078169589e+17
7.750,     2.166856876279524e+17
7.800,     2.173057518252355e+17
7.850,     2.181445279280657e+17
7.900,     2.192235195296428e+17
7.950,     2.205165813256451e+17
8.000,     2.220484914223367e+17
8.050,     2.238752510802941e+17
8.100,     2.259491385930250e+17
8.150,     2.281351376942769e+17
8.200,     2.302683337065659e+17
8.250,     2.321676327218326e+17
8.300,     2.337193536455223e+17
8.350,     2.349239953489135e+17
8.400,     2.358198774293212e+17
8.450,     2.365148689902881e+17
8.500,     2.370660019010985e+17
8.550,     2.375216860961549e+17
8.600,     2.379354512035629e+17
8.650,     2.383229068606900e+17
8.700,     2.386840160524884e+17
8.750,     2.389954067362046e+17
8.800,     2.392303022113510e+17
8.850,     2.393981552864304e+17
8.900,     2.394901726249470e+17
8.950,     2.395160629473931e+17
9.000,     2.395606547313435e+17
9.050,     2.396060109983102e+17
9.100,     2.395869222466285e+17
9.150,     2.395241939194417e+17
9.200,     2.394760958191394e+17
9.250,     2.395144798951397e+17
9.300,     2.396841263998740e+17
9.350,     2.400452763358846e+17
9.400,     2.406249793832434e+17
9.450,     2.413169577211349e+17
9.500,     2.420204152036766e+17
9.550,     2.426868977793772e+17
9.600,     2.433731688064049e+17
9.650,     2.442158016295160e+17
9.700,     2.453120483199199e+17
9.750,     2.466474992184120e+17
9.800,     2.481361883440398e+17
9.850,     2.496700334975579e+17
9.900,     2.511846201347988e+17
9.950,     2.526957152865903e+17
10.000,     2.543120378339978e+17
10.050,     2.559752901781981e+17
10.100,     2.576180835395509e+17
10.150,     2.592038057938346e+17
10.200,     2.607183306598250e+17
10.250,     2.621385466053172e+17
10.300,     2.634184754032991e+17
10.350,     2.645378685664435e+17
10.400,     2.654830085769025e+17
10.450,     2.662501470851891e+17
10.500,     2.668682187732075e+17
10.550,     2.673884920280669e+17
10.600,     2.678670840379723e+17
10.650,     2.683387624270974e+17
10.700,     2.687926080177083e+17
10.750,     2.692030283344713e+17
10.800,     2.695482438749884e+17
10.850,     2.698329119986192e+17
10.900,     2.700670293647598e+17
10.950,     2.702660281863398e+17
11.000,     2.704362141841258e+17
11.050,     2.705708250533384e+17
11.100,     2.706494070208197e+17
11.150,     2.706115853679796e+17
11.200,     2.703971891411737e+17
11.250,     2.699946310638950e+17
11.300,     2.694475626640797e+17
11.350,     2.688117483823790e+17
11.400,     2.681785994056006e+17
11.450,     2.675939040355723e+17
11.500,     2.670625124584676e+17
11.550,     2.665915185198765e+17
11.600,     2.661826228319533e+17
11.650,     2.658395806537102e+17
11.700,     2.654909689860381e+17
11.750,     2.650820714694324e+17
11.800,     2.646285458514543e+17
11.850,     2.642103390750003e+17
11.900,     2.639165201515365e+17
11.950,     2.638022657280198e+17
12.000,     2.638682786401525e+17
12.050,     2.640847298477240e+17
12.100,     2.644299647134034e+17
12.150,     2.649057206312934e+17
12.200,     2.655166012879265e+17
12.250,     2.662654890447935e+17
12.300,     2.671266558293314e+17
12.350,     2.680445826417811e+17
12.400,     2.689533450577123e+17
12.450,     2.698005698387538e+17
12.500,     2.705486978435023e+17
12.500,     2.705486978435023e+17
12.550,     2.711778353772523e+17
